name,role,presence,show,num_shows
 Reece Fleetwood,['Townie' 'Series Stunts'],"['unknown episodes                        '
 '            stunt double: Mark Ashworth / stunt performer / stunt performer: Townie (4 episodes, 2019-2020)          ']",Doom Patrol                  (2019– ),37
 Reese Giles,Shady Guy #1,unknown episodes                        ,Doom Patrol                  (2019– ),37
 Reeva Forrester,Series Additional Crew,"            Studio Teacher (5 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Refah Seyed Mahmoud,Series Camera and Electrical Department,            camera trainee (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Regina Popp,Series Transportation Department,"            driver (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Regis Kimble,['Series Produced by' 'Series Film Editing by'],"['            producer (27 episodes, 2017-2019)          '
 '            (14 episodes, 2017-2019)          ']",Legion                  (2017–2019),35
 Reid Murphy,Series Camera and Electrical Department,"            ronin 2 technician (1 episode, 2019)          ",Legion                  (2017–2019),35
 Reid Stegall,Series Camera and Electrical Department,"            lighting technician (6 episodes, 2021)          ",WandaVision                  (2021),35
 Rell Putt,Series Camera and Electrical Department,"            grip (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Remington Steele,Series Stunts,"            stunt double: Josh Stamberg (2 episodes, 2021)          ",WandaVision                  (2021),35
 Renato Rizzuti,Man on Bus,"1 episode, 2019                        ",The Umbrella Academy                  (2019– ),46
 Renato Scicchitano,Series Visual Effects by,            texture artist: Pixomondo (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Rene Morel,Series Visual Effects by,"            concept artist: Folks VFX (11 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Renee Brock,Series Location Management,"            location scout (15 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Renee McShane,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Renee Ramos,Series Makeup Department,"            hair stylist (7 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Renee Tobin,Series Makeup Department,            daily makeup artist (uncredited) (unknown episodes)          ,The Umbrella Academy                  (2019– ),46
 Renier Bronn,Series Camera and Electrical Department,"            lighting technician (4 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 René Roy,Series Visual Effects by,"            lead prep artist: Rodeo FX (7 episodes, 2021)          ",WandaVision                  (2021),35
 Reshena Burch,Series Costume and Wardrobe Department,"            costume coordinator (6 episodes, 2021)          ",WandaVision                  (2021),35
 Rhonda Loggins,Series Transportation Department,"            dot compliance (9 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Ricardo Elliott II,Series Visual Effects by,"            visual effects artist (13 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Riccardo Dacquino,Series Visual Effects by,"            rigging td: RISE Visual Effects Studios (4 episodes, 2021)          ",WandaVision                  (2021),35
 Rich Koll,Series Art Department,            cnc operator: Rich Koll LLC (uncredited) (unknown episodes)          ,Doom Patrol                  (2019– ),37
 Rich Volp,Series Stunts,"            utility stunts / utility stunt performer (5 episodes, 2021)          ",WandaVision                  (2021),35
 Richard Arguijo,Series Makeup Department,"            mold maker (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Richard Bennett,Series Art Department,"            storyboard artist (6 episodes, 2021)          ",WandaVision                  (2021),35
 Richard Blake Wester,Series Art Department,"            leadman (6 episodes, 2021)          ",WandaVision                  (2021),35
 Richard Burden,Series Stunts,"            stunt performer (1 episode, 2021)          ",WandaVision                  (2021),35
 Richard Castro,Series Additional Crew,"            production accountant (6 episodes, 2021)          ",WandaVision                  (2021),35
 Richard Chapelle,Series Camera and Electrical Department,"            day player camera operator (1 episode, 2020)          ",Doom Patrol                  (2019– ),37
 Richard Cotzabuyucas,Series Additional Crew,"            photo double for Jemaine Clement/stand-in for Jemaine Clement / stand-in for jemaine clement / photo double for jemaine clement / photo double for jemaine clement/stand-in for Jemaine Clement (3 episodes, 2018)          ",Legion                  (2017–2019),35
 Richard Flower,Series Second Unit Director or Assistant Director,"            first assistant director (3 episodes, 2017)          ",Legion                  (2017–2019),35
 Richard Greenwood,Series Visual Effects by,            compositing supervisor: FuseFX (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Richard Howell,Series Thanks,"            special thanks (9 episodes, 2021)          ",WandaVision                  (2021),35
 Richard Kilo Akuna,Series Visual Effects by,"            visual effects artist (24 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Richard Lee,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Richard Lukacs,Series Editorial Department,"            dailies operator (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Richard Marrero,Series Stunts,"            stunt driver (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Richard Noun,Series Visual Effects by,"            digital compositor: Soho VFX (4 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Richard Oswald,Series Second Unit Director or Assistant Director,"            key second assistant director (1 episode, 2021)          ",WandaVision                  (2021),35
 Richard Pengelly,Series Camera and Electrical Department,"            digital video assistant (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Richard Quinn,Series Sound Department,"            ADR Editor (2 episodes, 2021)          ",WandaVision                  (2021),35
 Richard Rodrigues,Series Visual Effects by,"['            compositor (2 episodes, 2017)          '
 '            digital compositor / digital compositor: Deluxe (2 episodes, 2019-2020)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Richard Saade,Series Visual Effects by,"            visual effects production manager: Park Road VFX (2 episodes, 2017)          ",Legion                  (2017–2019),35
 Richard Sandoval,Series Visual Effects by,"            CG Supervisor: Encore VFX (9 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Richard Waugh,Mason Dumont,"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Richmond Talauega,Series Additional Crew,            choreographer (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Rick Forsayeth,Series Stunts,"            stunt coordinator (17 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Rick Leonardi,Series Thanks,"            special thanks (9 episodes, 2021)          ",WandaVision                  (2021),35
 Rick Marcus,Series Stunts,"['            stunt performer (1 episode, 2019)          '
 '            stunt performer: SWORD Technician / utility stunt performer (2 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Rick McLean,Series Art Department,            painter (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Rickey Verma,Series Visual Effects by,"            lead compositor (9 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Ricky Chow,Series Animation Department,"            animator (1 episode, 2021)          ",WandaVision                  (2021),35
 Ricky Robinson,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Rico Burgos,Series Stunts,"['            utility stunt performer / utility stunts (7 episodes, 2021)          '
 '            utility stunts (uncredited) (unknown episodes)          ']","['WandaVision                  (2021)'
 'Legion                  (2017–2019)']",2
